Index,Filename,n_job,n_machine,Bottleneck_Index,Flowshop_Index
0,APMS/abz5.txt,10,10,0.3556,0.4074
1,APMS/abz6.txt,10,10,0.4333,0.3827
2,APMS/abz7.txt,20,15,0.2772,0.4549
3,APMS/abz8.txt,20,15,0.2807,0.4699
4,APMS/abz9.txt,20,15,0.3228,0.4624
18,APMS/BS_1010_3.txt,10,10,0.3333,0.4074
19,APMS/BS_1010_4.txt,10,10,0.3889,0.3827
5,APMS/BS_1010_1.txt,10,10,0.4333,0.358
22,APMS/BS_1010_7.txt,10,10,0.4889,0.3333
7,APMS/BS_1010_11.txt,10,10,0.5222,0.4074
6,APMS/BS_1010_10.txt,10,10,0.5889,0.4938
11,APMS/BS_1010_15.txt,10,10,0.6444,0.5926
10,APMS/BS_1010_14.txt,10,10,0.7111,0.6049
14,APMS/BS_1010_18.txt,10,10,0.7556,0.716
15,APMS/BS_1010_19.txt,10,10,0.8444,0.9136
38,APMS/BS_3015_3.txt,30,15,0.1701,0.5788
25,APMS/BS_3015_1.txt,30,15,0.1908,0.5813
41,APMS/BS_3015_6.txt,30,15,0.2276,0.5837
42,APMS/BS_3015_7.txt,30,15,0.2437,0.6084
26,APMS/BS_3015_10.txt,30,15,0.2621,0.6232
27,APMS/BS_3015_11.txt,30,15,0.292,0.633
30,APMS/BS_3015_14.txt,30,15,0.3333,0.6847
32,APMS/BS_3015_16.txt,30,15,0.3586,0.7463
34,APMS/BS_3015_18.txt,30,15,0.3839,0.798
35,APMS/BS_3015_19.txt,30,15,0.423,0.9089
45,APMS/FS_1010_1.txt,10,10,0.3556,0.3333
61,APMS/FS_1010_6.txt,10,10,0.4444,0.3827
59,APMS/FS_1010_4.txt,10,10,0.4222,0.4321
62,APMS/FS_1010_7.txt,10,10,0.3667,0.4815
46,APMS/FS_1010_10.txt,10,10,0.3667,0.5309
49,APMS/FS_1010_13.txt,10,10,0.3889,0.6049
52,APMS/FS_1010_16.txt,10,10,0.4333,0.6296
55,APMS/FS_1010_19.txt,10,10,0.3778,0.7407
54,APMS/FS_1010_18.txt,10,10,0.4444,0.7778
57,APMS/FS_1010_20.txt,10,10,0.4667,0.8889
66,APMS/FS_3015_10.txt,30,15,0.1793,0.6675
68,APMS/FS_3015_12.txt,30,15,0.1839,0.6847
70,APMS/FS_3015_14.txt,30,15,0.1333,0.7167
72,APMS/FS_3015_16.txt,30,15,0.1885,0.7512
73,APMS/FS_3015_17.txt,30,15,0.1793,0.7734
74,APMS/FS_3015_18.txt,30,15,0.1862,0.8202
75,APMS/FS_3015_19.txt,30,15,0.2092,0.8054
76,APMS/FS_3015_2.txt,30,15,0.1724,0.5862
77,APMS/FS_3015_20.txt,30,15,0.1494,0.8547
81,APMS/FS_3015_6.txt,30,15,0.1862,0.6133
85,APMS/ft06.txt,6,6,0.5,0.48
86,APMS/ft10.txt,10,10,0.5333,0.4444
87,APMS/ft20.txt,20,5,0.1158,0.8158
88,APMS/ta21.txt,20,20,0.3684,0.3546
89,APMS/ta22.txt,20,20,0.3789,0.3989
90,APMS/ta31.txt,30,15,0.177,0.5985
91,APMS/ta32.txt,30,15,0.2023,0.6084
92,APMS/ta41.txt,30,20,0.2534,0.5027
93,APMS/ta42.txt,30,20,0.2707,0.4936
94,APMS/ta51.txt,50,15,0.117,0.7201
95,APMS/ta52.txt,50,15,0.1048,0.7274
96,APMS/ta61.txt,50,20,0.1561,0.6391
97,APMS/ta62.txt,50,20,0.1459,0.6327
98,APMS/ta71.txt,100,20,0.0727,0.8091
99,APMS/ta72.txt,100,20,0.0707,0.8091
