,Filename,I_b,I_f,Optimal,RANDOM,RUBI,GT,SPT,LPT
0,abz5,0.355555556,0.407407407,1234,1595,1422,1450.8,1352,1569.26
1,abz6,0.433333333,0.382716049,943,1211.2,1114.6,1145.8,1097,1207
2,abz7,0.470175439,0.454887218,656,1058.4,847,865.8,838.09,883.44
3,abz8,0.470175439,0.469924812,,1112.6,918.6,909.8,876.15,942.16
4,abz9,0.498245614,0.462406015,,1103.8,965,897.4,896.26,964.82
5,ft06,0.5,0.48,55,61.2,58.8,59.6,88,70.83
6,ft10,0.533333333,0.444444444,930,1350.4,1232,1174,1074,1264.98
7,ft20,0.842105263,0.815789474,1165,1629.8,1659.6,1394.6,1267,1610.6
8,la01,0.622222222,0.583333333,666,759.8,736.4,754.8,762.71,806.1
9,la02,0.6,0.555555556,655,828.6,802.4,762.6,821,990
10,la03,0.644444444,0.694444444,597,744.8,724.2,710,686.35,825
11,la04,0.622222222,0.611111111,590,742.6,710.4,702.2,711,818
12,la05,0.622222222,0.638888889,593,612.6,593,599.8,610,693
13,la06,0.714285714,0.732142857,926,1005.2,947.8,960,1200,1125
14,la07,0.728571429,0.732142857,890,1086.6,1014.8,972.6,1034,1069
15,la08,0.728571429,0.732142857,863,1023.2,942,924.8,947.05,1087.25
16,la09,0.714285714,0.75,951,1058.8,952.6,1019.2,1045,1181.17
17,la10,0.728571429,0.714285714,958,1015.8,958,986.8,1049,1125.84
18,la11,0.8,0.789473684,1222,1381.4,1247,1282.2,1465.33,1467
19,la12,0.789473684,0.789473684,1039,1170.8,1092.8,1092.2,1268.62,1240
20,la13,0.789473684,0.789473684,1150,1320.6,1160.4,1205.8,1386.26,1220.27
21,la14,0.789473684,0.789473684,1292,1375.8,1292,1292,1427,1428.06
22,la15,0.789473684,0.789473684,1207,1490.4,1446.2,1362.2,1360.63,1612
23,la16,0.411111111,0.395061728,945,1201.2,1145.4,1104.4,1189.05,1229
24,la17,0.344444444,0.333333333,784,1016.8,867,931,962.48,1082
25,la18,0.377777778,0.358024691,848,1107.2,979.4,1018.4,981,1073.33
26,la19,0.388888889,0.419753086,842,1160.8,1043.6,1018.2,940,1062
27,la20,0.433333333,0.345679012,902,1177.2,1082.8,1086.4,1034.15,1272
28,la21,0.535714286,0.515873016,1046,1551.2,1362.6,1340.4,1312.39,1451
29,la22,0.528571429,0.46031746,927,1394.4,1219,1221.8,1155.41,1373.59
30,la23,0.45,0.555555556,1032,1485,1258.4,1277,1183.16,1318.53
31,la24,0.5,0.476190476,935,1413.6,1192.2,1216.8,1187.64,1245
32,la25,0.507142857,0.523809524,977,1423.8,1338.2,1274.2,1355.42,1364
33,la26,0.578947368,0.573099415,1218,1830.8,1573.8,1523.2,1549.49,1677.18
34,la27,0.6,0.578947368,1235,1926.4,1658.6,1606.4,1741.29,1714.18
35,la28,0.6,0.567251462,1216,1832.8,1546.2,1569.8,1594.13,1844
36,la29,0.584210526,0.596491228,1152,1835.2,1570.6,1542.4,1598.85,1724.1
37,la30,0.568421053,0.584795322,1355,1975.2,1661.6,1663.8,1792,1924.44
38,la31,0.706896552,0.701149425,1784,2474.8,2085.2,2031.8,1968.23,2244.77
39,la32,0.710344828,0.689655172,1850,2664.4,2198,2113.6,2222.51,2468.46
40,la33,0.706896552,0.697318008,1719,2438,2035.4,1973.2,1955.05,2282.66
41,la34,0.7,0.689655172,1721,2488,2053.4,1999,2062.47,2339.73
42,la35,0.706896552,0.701149425,1888,2644.2,2424.4,2205.8,2132.35,2381.08
43,la36,0.347619048,0.37244898,1268,1906.6,1598,1633.2,1799,1859.38
44,la37,0.414285714,0.413265306,1397,2139.2,1938.6,1742,1662.14,1944
45,la38,0.338095238,0.387755102,1196,1844,1573.2,1572,1414.06,1732
46,la39,0.371428571,0.367346939,1233,1949.8,1643.4,1623.8,1558.24,1635.1
47,la40,0.433333333,0.403061224,1222,1922.4,1613.2,1562.6,1476,1824.52
48,orb01,0.577777778,0.456790123,1059,1507.4,1453.8,1320.8,1434.32,1410
49,orb02,0.466666667,0.37037037,888,1208.4,1109.4,1077.2,1175,1293
50,orb03,0.733333333,0.666666667,1005,1520.6,1507.8,1317.2,1172.63,1447.46
51,orb04,0.4,0.358024691,1005,1345,1251.2,1229.6,1236,1419.56
52,orb05,0.688888889,0.604938272,887,1256.6,1286.6,1090,1140.96,1100.53
53,orb06,0.577777778,0.456790123,1010,1477.4,1391.8,1289.6,1246.1,1399.55
