,Filename,I_b,I_f,Optimal,RANDOM,RUBI,GT
0,swv01,0.7947368421052632,0.7368421052631579,1407.0,2403.2,2318.8,1848.6
1,swv02,0.7894736842105263,0.7309941520467835,1475.0,2416.2,2306.8,1911.6
2,swv03,0.7999999999999999,0.7426900584795322,,2346.0,2176.6,1847.8
3,swv04,0.7894736842105262,0.7309941520467836,,2497.6,2347.8,1899.4
4,swv05,0.7894736842105263,0.736842105263158,1424.0,2397.4,2254.6,1898.2
5,swv06,0.6666666666666665,0.6390977443609023,,2938.6,2611.8,2303.6
6,swv07,0.6596491228070176,0.6428571428571429,,2801.0,2336.0,2155.0
7,swv08,0.6736842105263158,0.631578947368421,,3128.0,2859.0,2379.6
8,swv09,0.6807017543859648,0.6466165413533834,,2982.4,2813.4,2275.6
9,swv10,0.6842105263157895,0.6353383458646616,,3045.0,2640.4,2327.6
10,swv11,0.9183673469387754,0.8820861678004535,,5538.2,5216.6,4060.8
11,swv12,0.9183673469387756,0.8798185941043084,,5603.8,5248.4,4099.8
12,swv13,0.9183673469387754,0.8843537414965987,3104.0,5753.4,5556.2,4167.0
13,swv14,0.9183673469387756,0.8798185941043085,2968.0,5410.0,5202.8,3973.2
14,swv15,0.9183673469387754,0.8798185941043083,,5518.6,5377.2,3951.8
15,swv16,0.820408163265306,0.81859410430839,2924.0,3764.8,3172.2,3015.2
16,swv17,0.8163265306122449,0.8163265306122448,2794.0,3708.6,3184.0,2905.0
17,swv18,0.8163265306122449,0.8163265306122449,2852.0,3663.4,2992.6,2922.0
18,swv19,0.8183673469387754,0.81859410430839,2843.0,3915.8,3513.6,3046.8
19,swv20,0.8163265306122449,0.81859410430839,2823.0,3560.4,2972.6,2915.0
