,RUBI_BM,RUBI_BRT,RANDOM_BM,RANDOM_BRT,SPT_BM,SPT_BRT,LPT_BM,LPT_BRT,GT_BM,GT_BRT
la01,666,169.877,666,121.7,666,61.616,666,154.256,666,85.778
la02,659,,655,298.386,680,,676,,667,
la03,617,,617,,638,,637,,645,
la04,598,,598,,598,,612,,607,
la05,593,0.344,593,13.781,593,0.315,593,7.057,593,22.381
la06,926,15.99,926,120.83,926,65.174,926,68.155,926,54.18
la07,890,348.806,890,372.541,897,,905,,890,378.946
la08,863,131.907,863,175.49,863,218.741,863,268.44,863,171.315
la09,951,2.823,951,120.511,951,23.298,951,72.457,951,90.423
la10,958,0.462,958,55.078,958,52.608,958,88.34,958,54.718
la11,1222,36.976,1222,201.134,1222,409.089,1222,214.627,1222,202.556
la12,1039,22.278,1039,197.601,1039,255.738,1039,291.89,1039,251.401
la13,1150,6.027,1150,210.24,1150,113.804,1150,385.535,1150,164.779
la14,1292,0.594,1292,38.966,1292,302.224,1292,63.208,1292,136.824
la15,1207,498.33,1207,824.82,1249,,1243,,1244,
la16,982,,1005,,1003,,1010,,979,
la17,793,,805,,854,,806,,833,
la18,865,,861,,942,,951,,904,
la19,896,,888,,877,,909,,902,
la20,936,,955,,929,,969,,919,
