Filename,GT,RANDOM,RUBI
abz5,1.7263463974,0.7836601734,1.6226356029999998
abz6,1.7368295669999998,0.8214729787999999,1.625121069
abz7,4.4794453144,2.0294510366000003,4.060432434
abz8,4.4784192562000005,2.003689766,4.0784928322
abz9,4.5503688812,2.0416918278,4.107662582400001
ft06,0.570921564,0.2691369534,0.5525073052
ft10,1.5341845034000001,0.7206819536,1.4447618009999998
ft20,1.7981065272000003,0.7515385152,1.5384531021999999
la01,0.8048487183999999,0.3818475724,0.7607902526
la02,0.8086081026,0.3871909618,0.7578967569999999
la03,0.8155488968,0.3671824456,0.757273388
la04,0.8224325180000001,0.37076888080000003,0.7595366001999999
la05,0.7998416898,0.371571398,0.7778140068
la06,1.2576514722,0.5337761878,1.1539421556
la07,1.2786825658,0.5416469574,1.1522593974
la08,1.2709352016,0.5368877886,1.1398876664
la09,1.2658521176000002,0.5569648742,1.1656152726
la10,1.281109476,0.5413033962,1.1418955324
la11,1.8053691388000002,0.7458334446,1.5495530128000001
la12,1.7758001326,0.7569903374,1.5535696032000001
la13,1.7885908602,0.7606829643999999,1.5680694104000001
la14,1.7967596054000001,0.7326906682,1.5691549775999998
la15,1.804909849,0.758624029,1.5494349004
la16,1.536530924,0.685915661,1.4648186684
la17,1.5396183012,0.7007911684,1.4348063948
la18,1.5831290722,0.6967624664000001,1.4819804668
la19,1.548388052,0.6987976074,1.4709713936
la20,1.5366922856,0.7188673022,1.4586063862
la21,2.3291524889999997,1.051538515,2.167177391
la22,2.3245221616,1.0759449482,2.1911652568
la23,2.3022401807999997,1.0793126581999999,2.1167207716
la24,2.2978690622,1.0686910154,2.115174675
la25,2.297674513,1.0707554816,2.1379551888000004
la26,3.2052390574,1.4229716302,2.8759399892
la27,3.1558494568,1.3901150704,2.8216947078
la28,3.1423301696,1.414628315,2.7993398665999996
la29,3.2579043864,1.4042264938,2.8681729317999998
la30,3.177465868,1.3916872976,2.8377633572
la31,5.3978163242,2.2152383806,4.4742353918
la32,5.3822542668,2.211212492,4.4943773268000005
la33,5.274466467,2.1867870332,4.4656119348
la34,5.329240560600001,2.187575102,4.4696821688
la35,5.4265274048,2.2117270946,4.512482690800001
la36,3.3192263128,1.547026062,3.059263754
la37,3.3171316148,1.5370469572,3.1420918464
la38,3.330491972,1.5369381426,3.1001943588
la39,3.2825249196,1.5320504188,3.1083630084
la40,3.3284001828000003,1.533790207,3.1068988323999998
orb01,1.5623258114,0.7264951230000001,1.4677726744
orb02,1.5491570948,0.719956112,1.4723667144
orb03,1.5603351114000001,0.7429445744000001,1.4725017072
orb04,1.5548197747999999,0.7122508048,1.4762208462
orb05,1.56213789,0.7230356216,1.478351021
orb06,1.546740055,0.7205631258,1.4667181016000002
swv01,40.510060408,15.921741628000001,35.952176476
swv02,39.461895896,17.599276112000002,35.231474205999994
swv03,38.637190868,17.426987838,34.738285112
swv04,38.802224826,16.68783903,35.470946122
swv05,34.05850444,14.657844639999999,30.655962228
swv06,49.147868968,21.919702816,45.402625416
swv07,49.344640302,21.7723886,45.246890448
swv08,49.141857528,21.931173088,45.828724194
swv09,49.570343876,21.905133678,45.969405316
swv10,49.516013956,21.929056882,45.705946874
swv11,121.73188544,40.328877592,86.40202040599999
swv12,120.89021144,40.294175431999996,85.898218966
swv13,120.86661028,40.055640842,86.014026594
swv14,120.70049186000001,40.0024868,86.05437622
swv15,122.01883642,40.427075672,86.990937712
swv16,106.4283357,38.303153038,79.809376334
swv17,106.5324821,38.214349984,80.423641824
swv18,107.26951958,38.216583346,80.303870584
swv19,107.30376043999999,38.545673468000004,81.129151012
swv20,106.01192455999998,38.752181722,78.938855364
