Instance,Seed,Termination,RUBI
la01,0,6,FALSE
la01,1,111,FALSE
la01,2,69,FALSE
la01,3,122,FALSE
la01,4,0,FALSE
la01,5,379,FALSE
la01,6,17,FALSE
la01,7,5,FALSE
la01,8,25,FALSE
la01,9,0,FALSE
la01,0,36,TRUE
la01,1,0,TRUE
la01,2,8,TRUE
la01,3,12,TRUE
la01,4,301,TRUE
la01,5,56,TRUE
la01,6,0,TRUE
la01,7,0,TRUE
la01,8,70,TRUE
la01,9,0,TRUE
la06,0,12,FALSE
la06,1,16,FALSE
la06,2,9,FALSE
la06,3,16,FALSE
la06,4,10,FALSE
la06,5,22,FALSE
la06,6,6,FALSE
la06,7,19,FALSE
la06,8,8,FALSE
la06,9,7,FALSE
la06,0,43,TRUE
la06,1,8,TRUE
la06,2,4,TRUE
la06,3,7,TRUE
la06,4,6,TRUE
la06,5,30,TRUE
la06,6,7,TRUE
la06,7,1,TRUE
la06,8,7,TRUE
la06,9,15,TRUE
la07,0,44,FALSE
la07,1,169,FALSE
la07,2,333,FALSE
la07,3,59,FALSE
la07,4,57,FALSE
la07,5,404,FALSE
la07,6,72,FALSE
la07,7,60,FALSE
la07,8,80,FALSE
la07,9,45,FALSE
la07,0,44,TRUE
la07,1,71,TRUE
la07,2,55,TRUE
la07,3,126,TRUE
la07,4,42,TRUE
la07,5,35,TRUE
la07,6,162,TRUE
la07,7,82,TRUE
la07,8,56,TRUE
la07,9,178,TRUE
la08,0,10,FALSE
la08,1,49,FALSE
la08,2,48,FALSE
la08,3,161,FALSE
la08,4,44,FALSE
la08,5,42,FALSE
la08,6,39,FALSE
la08,7,129,FALSE
la08,8,63,FALSE
la08,9,58,FALSE
la08,0,27,TRUE
la08,1,50,TRUE
la08,2,44,TRUE
la08,3,17,TRUE
la08,4,78,TRUE
la08,5,22,TRUE
la08,6,15,TRUE
la08,7,15,TRUE
la08,8,30,TRUE
la08,9,20,TRUE
la09,0,9,FALSE
la09,1,13,FALSE
la09,2,23,FALSE
la09,3,19,FALSE
la09,4,12,FALSE
la09,5,10,FALSE
la09,6,19,FALSE
la09,7,18,FALSE
la09,8,50,FALSE
la09,9,9,FALSE
la09,0,3,TRUE
la09,1,1,TRUE
la09,2,5,TRUE
la09,3,3,TRUE
la09,4,1,TRUE
la09,5,10,TRUE
la09,6,7,TRUE
la09,7,4,TRUE
la09,8,1,TRUE
la09,9,6,TRUE
la10,0,3,FALSE
la10,1,5,FALSE
la10,2,3,FALSE
la10,3,11,FALSE
la10,4,5,FALSE
la10,5,13,FALSE
la10,6,11,FALSE
la10,7,7,FALSE
la10,8,19,FALSE
la10,9,10,FALSE
la10,0,2,TRUE
la10,1,0,TRUE
la10,2,1,TRUE
la10,3,0,TRUE
la10,4,2,TRUE
la10,5,1,TRUE
la10,6,2,TRUE
la10,7,4,TRUE
la10,8,3,TRUE
la10,9,2,TRUE
la11,0,11,FALSE
la11,1,26,FALSE
la11,2,23,FALSE
la11,3,10,FALSE
la11,4,17,FALSE
la11,5,21,FALSE
la11,6,20,FALSE
la11,7,12,FALSE
la11,8,28,FALSE
la11,9,13,FALSE
la11,0,10,TRUE
la11,1,6,TRUE
la11,2,12,TRUE
la11,3,16,TRUE
la11,4,10,TRUE
la11,5,48,TRUE
la11,6,6,TRUE
la11,7,4,TRUE
la11,8,2,TRUE
la11,9,8,TRUE
la12,0,43,FALSE
la12,1,25,FALSE
la12,2,14,FALSE
la12,3,18,FALSE
la12,4,8,FALSE
la12,5,9,FALSE
la12,6,24,FALSE
la12,7,22,FALSE
la12,8,20,FALSE
la12,9,14,FALSE
la12,0,14,TRUE
la12,1,6,TRUE
la12,2,15,TRUE
la12,3,3,TRUE
la12,4,2,TRUE
la12,5,11,TRUE
la12,6,6,TRUE
la12,7,7,TRUE
la12,8,9,TRUE
la12,9,4,TRUE
la13,0,21,FALSE
la13,1,20,FALSE
la13,2,18,FALSE
la13,3,13,FALSE
la13,4,21,FALSE
la13,5,17,FALSE
la13,6,17,FALSE
la13,7,35,FALSE
la13,8,11,FALSE
la13,9,19,FALSE
la13,0,2,TRUE
la13,1,5,TRUE
la13,2,4,TRUE
la13,3,14,TRUE
la13,4,6,TRUE
la13,5,12,TRUE
la13,6,3,TRUE
la13,7,13,TRUE
la13,8,1,TRUE
la13,9,6,TRUE
la15,0,226,FALSE
la15,1,309,FALSE
la15,2,109,FALSE
la15,3,294,FALSE
la15,4,125,FALSE
la15,5,67,FALSE
la15,6,83,FALSE
la15,7,177,FALSE
la15,8,190,FALSE
la15,9,357,FALSE
la15,0,141,TRUE
la15,1,242,TRUE
la15,2,182,TRUE
la15,3,182,TRUE
la15,4,100,TRUE
la15,5,108,TRUE
la15,6,120,TRUE
la15,7,362,TRUE
la15,8,269,TRUE
la15,9,89,TRUE
