Machine,Job,Start,Finish,Delta
8,Part9_0,0,69,69
4,Part8_0,0,33,33
3,Part6_0,0,16,16
2,Part5_0,0,35,35
1,Part0_0,0,21,21
3,Part2_0,16,50,34
6,Part0_0,21,92,71
1,Part7_0,21,66,45
4,Part1_0,33,88,55
2,Part6_0,35,94,59
3,Part5_0,50,126,76
1,Part3_0,66,153,87
0,Part7_0,66,153,87
9,Part9_0,69,150,81
2,Part8_0,94,131,37
8,Part8_0,131,197,66
2,Part1_0,131,162,31
3,Part7_0,153,194,41
5,Part1_0,162,260,98
2,Part4_0,162,260,98
4,Part7_0,194,214,20
6,Part7_0,214,268,54
0,Part4_0,260,304,44
5,Part8_0,260,293,33
2,Part9_0,260,354,94
9,Part1_0,260,339,79
3,Part8_0,293,319,26
5,Part4_0,304,329,25
0,Part6_0,304,350,46
7,Part8_0,319,327,8
3,Part3_0,319,388,69
1,Part8_0,327,355,28
5,Part5_0,329,357,28
6,Part4_0,329,404,75
9,Part0_0,339,355,16
0,Part1_0,350,362,12
2,Part2_0,354,418,64
4,Part9_0,354,450,96
1,Part6_0,355,446,91
8,Part0_0,355,407,52
9,Part5_0,357,367,10
6,Part8_0,404,493,89
7,Part0_0,407,433,26
8,Part2_0,418,480,62
2,Part3_0,418,505,87
9,Part6_0,446,489,43
4,Part5_0,450,511,61
3,Part9_0,450,477,27
0,Part9_0,477,546,69
1,Part2_0,480,499,19
8,Part6_0,489,539,50
9,Part7_0,489,532,43
7,Part3_0,505,543,38
2,Part0_0,505,539,34
6,Part5_0,511,520,9
4,Part2_0,511,603,92
6,Part6_0,539,591,52
7,Part4_0,543,586,43
8,Part3_0,543,567,24
0,Part0_0,546,599,53
9,Part3_0,567,650,83
8,Part7_0,567,581,14
7,Part1_0,586,652,66
1,Part4_0,586,635,49
5,Part6_0,591,650,59
0,Part5_0,599,694,95
4,Part0_0,603,624,21
3,Part0_0,624,679,55
9,Part2_0,650,729,79
4,Part6_0,650,678,28
6,Part3_0,650,691,41
5,Part7_0,650,659,9
7,Part9_0,652,697,45
2,Part7_0,659,698,39
4,Part4_0,678,774,96
5,Part0_0,679,774,95
0,Part3_0,694,787,93
8,Part5_0,694,729,35
6,Part9_0,697,775,78
7,Part2_0,729,772,43
1,Part5_0,729,736,7
9,Part8_0,729,771,42
1,Part1_0,736,778,42
7,Part5_0,772,867,95
9,Part4_0,774,851,77
6,Part2_0,775,829,54
8,Part1_0,778,855,77
1,Part9_0,778,852,74
5,Part3_0,787,864,77
0,Part8_0,787,865,78
3,Part4_0,851,868,17
6,Part1_0,855,932,77
5,Part9_0,864,948,84
4,Part3_0,864,924,60
0,Part2_0,865,948,83
7,Part7_0,867,938,71
8,Part4_0,868,947,79
3,Part1_0,932,971,39
7,Part6_0,938,965,27
5,Part2_0,948,985,37
