Time,Event,Part,Process,Machine
0,Started,Part0_0,Process1,M1
0,Started,Part8_0,Process4,M4
0,Started,Part6_0,Process3,M3
0,Started,Part5_0,Process2,M2
0,Started,Part9_0,Process8,M8
16,Finished,Part6_0,Process3,M3
16,Started,Part2_0,Process3,M3
21,Finished,Part0_0,Process1,M1
21,Started,Part7_0,Process1,M1
21,Started,Part0_0,Process6,M6
33,Finished,Part8_0,Process4,M4
33,Started,Part1_0,Process4,M4
35,Finished,Part5_0,Process2,M2
35,Started,Part4_0,Process2,M2
50,Finished,Part2_0,Process3,M3
66,Finished,Part7_0,Process1,M1
66,Started,Part3_0,Process1,M1
66,Started,Part7_0,Process0,M0
69,Finished,Part9_0,Process8,M8
69,Started,Part9_0,Process9,M9
88,Finished,Part1_0,Process4,M4
92,Finished,Part0_0,Process6,M6
133,Finished,Part4_0,Process2,M2
133,Started,Part8_0,Process2,M2
150,Finished,Part9_0,Process9,M9
150,Started,Part0_0,Process9,M9
153,Finished,Part3_0,Process1,M1
153,Finished,Part7_0,Process0,M0
153,Started,Part4_0,Process0,M0
153,Started,Part3_0,Process3,M3
166,Finished,Part0_0,Process9,M9
170,Finished,Part8_0,Process2,M2
170,Started,Part6_0,Process2,M2
170,Started,Part8_0,Process8,M8
197,Finished,Part4_0,Process0,M0
222,Finished,Part3_0,Process3,M3
222,Started,Part5_0,Process3,M3
229,Finished,Part6_0,Process2,M2
229,Started,Part1_0,Process2,M2
229,Started,Part6_0,Process0,M0
236,Finished,Part8_0,Process8,M8
260,Finished,Part1_0,Process2,M2
260,Started,Part2_0,Process2,M2
260,Started,Part1_0,Process5,M5
275,Finished,Part6_0,Process0,M0
298,Finished,Part5_0,Process3,M3
298,Started,Part7_0,Process3,M3
324,Finished,Part2_0,Process2,M2
324,Started,Part9_0,Process2,M2
324,Started,Part2_0,Process8,M8
339,Finished,Part7_0,Process3,M3
339,Started,Part7_0,Process4,M4
358,Finished,Part1_0,Process5,M5
358,Started,Part5_0,Process5,M5
358,Started,Part1_0,Process9,M9
359,Finished,Part7_0,Process4,M4
386,Finished,Part2_0,Process8,M8
386,Finished,Part5_0,Process5,M5
386,Started,Part0_0,Process8,M8
386,Started,Part4_0,Process5,M5
386,Started,Part2_0,Process1,M1
405,Finished,Part2_0,Process1,M1
405,Started,Part6_0,Process1,M1
411,Finished,Part4_0,Process5,M5
411,Started,Part8_0,Process5,M5
411,Started,Part4_0,Process6,M6
418,Finished,Part9_0,Process2,M2
418,Started,Part3_0,Process2,M2
418,Started,Part9_0,Process4,M4
437,Finished,Part1_0,Process9,M9
437,Started,Part5_0,Process9,M9
437,Started,Part1_0,Process0,M0
438,Finished,Part0_0,Process8,M8
444,Finished,Part8_0,Process5,M5
444,Started,Part8_0,Process3,M3
447,Finished,Part5_0,Process9,M9
449,Finished,Part1_0,Process0,M0
470,Finished,Part8_0,Process3,M3
486,Finished,Part4_0,Process6,M6
486,Started,Part7_0,Process6,M6
496,Finished,Part6_0,Process1,M1
496,Started,Part6_0,Process9,M9
505,Finished,Part3_0,Process2,M2
505,Started,Part3_0,Process7,M7
514,Finished,Part9_0,Process4,M4
514,Started,Part5_0,Process4,M4
514,Started,Part9_0,Process3,M3
539,Finished,Part6_0,Process9,M9
540,Finished,Part7_0,Process6,M6
540,Started,Part7_0,Process9,M9
541,Finished,Part9_0,Process3,M3
541,Started,Part9_0,Process0,M0
543,Finished,Part3_0,Process7,M7
543,Started,Part0_0,Process7,M7
543,Started,Part3_0,Process8,M8
567,Finished,Part3_0,Process8,M8
567,Started,Part6_0,Process8,M8
569,Finished,Part0_0,Process7,M7
569,Started,Part4_0,Process7,M7
569,Started,Part0_0,Process2,M2
575,Finished,Part5_0,Process4,M4
575,Started,Part2_0,Process4,M4
575,Started,Part5_0,Process6,M6
583,Finished,Part7_0,Process9,M9
583,Started,Part3_0,Process9,M9
584,Finished,Part5_0,Process6,M6
603,Finished,Part0_0,Process2,M2
610,Finished,Part9_0,Process0,M0
610,Started,Part0_0,Process0,M0
612,Finished,Part4_0,Process7,M7
612,Started,Part8_0,Process7,M7
612,Started,Part4_0,Process1,M1
617,Finished,Part6_0,Process8,M8
617,Started,Part7_0,Process8,M8
617,Started,Part6_0,Process6,M6
620,Finished,Part8_0,Process7,M7
620,Started,Part1_0,Process7,M7
631,Finished,Part7_0,Process8,M8
631,Started,Part7_0,Process5,M5
640,Finished,Part7_0,Process5,M5
640,Started,Part7_0,Process2,M2
661,Finished,Part4_0,Process1,M1
663,Finished,Part0_0,Process0,M0
663,Started,Part5_0,Process0,M0
666,Finished,Part3_0,Process9,M9
667,Finished,Part2_0,Process4,M4
667,Started,Part0_0,Process4,M4
667,Started,Part2_0,Process9,M9
669,Finished,Part6_0,Process6,M6
669,Started,Part3_0,Process6,M6
669,Started,Part6_0,Process5,M5
679,Finished,Part7_0,Process2,M2
686,Finished,Part1_0,Process7,M7
686,Started,Part9_0,Process7,M7
686,Started,Part1_0,Process1,M1
688,Finished,Part0_0,Process4,M4
688,Started,Part4_0,Process4,M4
688,Started,Part0_0,Process3,M3
710,Finished,Part3_0,Process6,M6
728,Finished,Part6_0,Process5,M5
728,Finished,Part1_0,Process1,M1
728,Started,Part8_0,Process1,M1
731,Finished,Part9_0,Process7,M7
743,Finished,Part0_0,Process3,M3
746,Finished,Part2_0,Process9,M9
746,Started,Part2_0,Process7,M7
756,Finished,Part8_0,Process1,M1
758,Finished,Part5_0,Process0,M0
758,Started,Part3_0,Process0,M0
758,Started,Part5_0,Process8,M8
784,Finished,Part4_0,Process4,M4
784,Started,Part6_0,Process4,M4
784,Started,Part4_0,Process9,M9
789,Finished,Part2_0,Process7,M7
789,Started,Part2_0,Process6,M6
793,Finished,Part5_0,Process8,M8
793,Started,Part1_0,Process8,M8
793,Started,Part5_0,Process1,M1
800,Finished,Part5_0,Process1,M1
800,Started,Part5_0,Process7,M7
812,Finished,Part6_0,Process4,M4
843,Finished,Part2_0,Process6,M6
843,Started,Part9_0,Process6,M6
