Time,Event,Part,Process,Machine
0,Started,Part0_0,Process1,M1
0,Started,Part8_0,Process4,M4
0,Started,Part6_0,Process3,M3
0,Started,Part5_0,Process2,M2
0,Started,Part9_0,Process8,M8
16,Finished,Part6_0,Process3,M3
16,Started,Part2_0,Process3,M3
21,Finished,Part0_0,Process1,M1
21,Started,Part7_0,Process1,M1
21,Started,Part0_0,Process6,M6
33,Finished,Part8_0,Process4,M4
33,Started,Part1_0,Process4,M4
35,Finished,Part5_0,Process2,M2
35,Started,Part6_0,Process2,M2
50,Finished,Part2_0,Process3,M3
50,Started,Part5_0,Process3,M3
66,Finished,Part7_0,Process1,M1
66,Started,Part3_0,Process1,M1
66,Started,Part7_0,Process0,M0
69,Finished,Part9_0,Process8,M8
69,Started,Part9_0,Process9,M9
88,Finished,Part1_0,Process4,M4
92,Finished,Part0_0,Process6,M6
94,Finished,Part6_0,Process2,M2
94,Started,Part8_0,Process2,M2
126,Finished,Part5_0,Process3,M3
131,Finished,Part8_0,Process2,M2
131,Started,Part1_0,Process2,M2
131,Started,Part8_0,Process8,M8
150,Finished,Part9_0,Process9,M9
153,Finished,Part3_0,Process1,M1
153,Finished,Part7_0,Process0,M0
153,Started,Part7_0,Process3,M3
162,Finished,Part1_0,Process2,M2
162,Started,Part4_0,Process2,M2
162,Started,Part1_0,Process5,M5
194,Finished,Part7_0,Process3,M3
194,Started,Part7_0,Process4,M4
197,Finished,Part8_0,Process8,M8
214,Finished,Part7_0,Process4,M4
214,Started,Part7_0,Process6,M6
260,Finished,Part4_0,Process2,M2
260,Finished,Part1_0,Process5,M5
260,Started,Part9_0,Process2,M2
260,Started,Part8_0,Process5,M5
260,Started,Part4_0,Process0,M0
260,Started,Part1_0,Process9,M9
268,Finished,Part7_0,Process6,M6
293,Finished,Part8_0,Process5,M5
293,Started,Part8_0,Process3,M3
304,Finished,Part4_0,Process0,M0
304,Started,Part6_0,Process0,M0
304,Started,Part4_0,Process5,M5
319,Finished,Part8_0,Process3,M3
319,Started,Part3_0,Process3,M3
319,Started,Part8_0,Process7,M7
327,Finished,Part8_0,Process7,M7
327,Started,Part8_0,Process1,M1
329,Finished,Part4_0,Process5,M5
329,Started,Part5_0,Process5,M5
329,Started,Part4_0,Process6,M6
339,Finished,Part1_0,Process9,M9
339,Started,Part0_0,Process9,M9
350,Finished,Part6_0,Process0,M0
350,Started,Part1_0,Process0,M0
354,Finished,Part9_0,Process2,M2
354,Started,Part2_0,Process2,M2
354,Started,Part9_0,Process4,M4
355,Finished,Part8_0,Process1,M1
355,Finished,Part0_0,Process9,M9
355,Started,Part6_0,Process1,M1
355,Started,Part0_0,Process8,M8
357,Finished,Part5_0,Process5,M5
357,Started,Part5_0,Process9,M9
362,Finished,Part1_0,Process0,M0
367,Finished,Part5_0,Process9,M9
388,Finished,Part3_0,Process3,M3
404,Finished,Part4_0,Process6,M6
404,Started,Part8_0,Process6,M6
407,Finished,Part0_0,Process8,M8
407,Started,Part0_0,Process7,M7
418,Finished,Part2_0,Process2,M2
418,Started,Part3_0,Process2,M2
418,Started,Part2_0,Process8,M8
433,Finished,Part0_0,Process7,M7
446,Finished,Part6_0,Process1,M1
446,Started,Part6_0,Process9,M9
450,Finished,Part9_0,Process4,M4
450,Started,Part5_0,Process4,M4
450,Started,Part9_0,Process3,M3
477,Finished,Part9_0,Process3,M3
477,Started,Part9_0,Process0,M0
480,Finished,Part2_0,Process8,M8
480,Started,Part2_0,Process1,M1
489,Finished,Part6_0,Process9,M9
489,Started,Part7_0,Process9,M9
489,Started,Part6_0,Process8,M8
493,Finished,Part8_0,Process6,M6
499,Finished,Part2_0,Process1,M1
505,Finished,Part3_0,Process2,M2
505,Started,Part0_0,Process2,M2
505,Started,Part3_0,Process7,M7
511,Finished,Part5_0,Process4,M4
511,Started,Part2_0,Process4,M4
511,Started,Part5_0,Process6,M6
520,Finished,Part5_0,Process6,M6
532,Finished,Part7_0,Process9,M9
539,Finished,Part6_0,Process8,M8
539,Finished,Part0_0,Process2,M2
539,Started,Part6_0,Process6,M6
543,Finished,Part3_0,Process7,M7
543,Started,Part4_0,Process7,M7
543,Started,Part3_0,Process8,M8
546,Finished,Part9_0,Process0,M0
546,Started,Part0_0,Process0,M0
567,Finished,Part3_0,Process8,M8
567,Started,Part7_0,Process8,M8
567,Started,Part3_0,Process9,M9
581,Finished,Part7_0,Process8,M8
586,Finished,Part4_0,Process7,M7
586,Started,Part1_0,Process7,M7
586,Started,Part4_0,Process1,M1
591,Finished,Part6_0,Process6,M6
591,Started,Part6_0,Process5,M5
599,Finished,Part0_0,Process0,M0
599,Started,Part5_0,Process0,M0
603,Finished,Part2_0,Process4,M4
603,Started,Part0_0,Process4,M4
624,Finished,Part0_0,Process4,M4
624,Started,Part0_0,Process3,M3
635,Finished,Part4_0,Process1,M1
650,Finished,Part3_0,Process9,M9
650,Finished,Part6_0,Process5,M5
650,Started,Part2_0,Process9,M9
650,Started,Part7_0,Process5,M5
650,Started,Part3_0,Process6,M6
650,Started,Part6_0,Process4,M4
652,Finished,Part1_0,Process7,M7
652,Started,Part9_0,Process7,M7
659,Finished,Part7_0,Process5,M5
659,Started,Part7_0,Process2,M2
678,Finished,Part6_0,Process4,M4
678,Started,Part4_0,Process4,M4
679,Finished,Part0_0,Process3,M3
679,Started,Part0_0,Process5,M5
691,Finished,Part3_0,Process6,M6
694,Finished,Part5_0,Process0,M0
694,Started,Part3_0,Process0,M0
694,Started,Part5_0,Process8,M8
697,Finished,Part9_0,Process7,M7
697,Started,Part9_0,Process6,M6
698,Finished,Part7_0,Process2,M2
729,Finished,Part2_0,Process9,M9
729,Finished,Part5_0,Process8,M8
729,Started,Part8_0,Process9,M9
729,Started,Part2_0,Process7,M7
729,Started,Part5_0,Process1,M1
736,Finished,Part5_0,Process1,M1
736,Started,Part1_0,Process1,M1
771,Finished,Part8_0,Process9,M9
772,Finished,Part2_0,Process7,M7
772,Started,Part5_0,Process7,M7
774,Finished,Part4_0,Process4,M4
