Machine,Job,Start,Finish,Delta
8,Part9_0,0,69,69
4,Part8_0,0,33,33
3,Part6_0,0,16,16
2,Part5_0,0,35,35
1,Part0_0,0,21,21
3,Part2_0,16,50,34
6,Part0_0,21,92,71
1,Part7_0,21,66,45
4,Part1_0,33,88,55
2,Part4_0,35,133,98
0,Part7_0,66,153,87
1,Part3_0,66,153,87
9,Part9_0,69,150,81
2,Part8_0,133,170,37
9,Part0_0,150,166,16
0,Part4_0,153,197,44
3,Part3_0,153,222,69
2,Part6_0,170,229,59
8,Part8_0,170,236,66
3,Part5_0,222,298,76
0,Part6_0,229,275,46
2,Part1_0,229,260,31
2,Part2_0,260,324,64
5,Part1_0,260,358,98
3,Part7_0,298,339,41
8,Part2_0,324,386,62
2,Part9_0,324,418,94
4,Part7_0,339,359,20
9,Part1_0,358,437,79
5,Part5_0,358,386,28
8,Part0_0,386,438,52
5,Part4_0,386,411,25
1,Part2_0,386,405,19
1,Part6_0,405,496,91
6,Part4_0,411,486,75
5,Part8_0,411,444,33
4,Part9_0,418,514,96
2,Part3_0,418,505,87
9,Part5_0,437,447,10
0,Part1_0,437,449,12
3,Part8_0,444,470,26
6,Part7_0,486,540,54
9,Part6_0,496,539,43
7,Part3_0,505,543,38
3,Part9_0,514,541,27
4,Part5_0,514,575,61
9,Part7_0,540,583,43
0,Part9_0,541,610,69
7,Part0_0,543,569,26
8,Part3_0,543,567,24
8,Part6_0,567,617,50
2,Part0_0,569,603,34
7,Part4_0,569,612,43
6,Part5_0,575,584,9
4,Part2_0,575,667,92
9,Part3_0,583,666,83
0,Part0_0,610,663,53
1,Part4_0,612,661,49
7,Part8_0,612,620,8
8,Part7_0,617,631,14
6,Part6_0,617,669,52
7,Part1_0,620,686,66
5,Part7_0,631,640,9
2,Part7_0,640,679,39
0,Part5_0,663,758,95
9,Part2_0,667,746,79
4,Part0_0,667,688,21
6,Part3_0,669,710,41
5,Part6_0,669,728,59
7,Part9_0,686,731,45
1,Part1_0,686,728,42
4,Part4_0,688,784,96
3,Part0_0,688,743,55
1,Part8_0,728,756,28
7,Part2_0,746,789,43
8,Part5_0,758,793,35
0,Part3_0,758,851,93
4,Part6_0,784,812,28
9,Part4_0,784,861,77
6,Part2_0,789,843,54
1,Part5_0,793,800,7
8,Part1_0,793,870,77
7,Part5_0,800,895,95
6,Part9_0,843,921,78
0,Part2_0,851,934,83
5,Part3_0,851,928,77
3,Part4_0,861,878,17
8,Part4_0,878,957,79
7,Part7_0,895,966,71
6,Part8_0,921,1010,89
1,Part9_0,921,995,74
4,Part3_0,928,988,60
5,Part0_0,928,1023,95
7,Part6_0,966,993,27
6,Part1_0,1010,1087,77
9,Part8_0,1010,1052,42
5,Part2_0,1023,1060,37
0,Part8_0,1052,1130,78
5,Part9_0,1060,1144,84
3,Part1_0,1087,1126,39
