Problem,Initialization,Seed,Best Makespan,Best Reached Time
la01,0,0,669,93.96343732
la01,0,1,666,45.63283134
la01,0,2,688,179.3163486
la01,0,3,666,141.9575329
la01,0,4,666,293.4638658
la01,0,5,667,314.5288868
la01,0,6,678,128.8583136
la01,0,7,666,53.05021071
la01,0,8,666,74.39556789
la01,0,9,667,293.1975982
la01,20,0,666,38.29284191
la01,20,1,688,133.8659003
la01,20,2,678,278.5833538
la01,20,3,668,133.6243348
la01,20,4,666,92.7396524
la01,20,5,667,82.62493968
la01,20,6,667,276.3787911
la01,20,7,668,394.6808622
la01,20,8,666,120.7294459
la01,20,9,666,42.96421576
la01,40,0,667,338.1773238
la01,40,1,688,172.4627473
la01,40,2,666,73.46183848
la01,40,3,666,245.1317999
la01,40,4,688,399.7980099
la01,40,5,678,2.395900011
la01,40,6,666,145.6785405
la01,40,7,668,404.3651671
la01,40,8,667,155.2546527
la01,40,9,667,239.0899086
la01,60,0,678,83.19109678
la01,60,1,666,237.5485058
la01,60,2,667,391.108726
la01,60,3,666,221.4724762
la01,60,4,678,10.61552334
la01,60,5,666,0.318359137
la01,60,6,666,161.5871634
la01,60,7,667,230.5290649
la01,60,8,676,203.1471775
la01,60,9,666,223.1472046
la01,80,0,678,22.63730979
la01,80,1,678,65.58397508
la01,80,2,667,328.5130553
la01,80,3,688,178.1631291
la01,80,4,688,39.35912418
la01,80,5,678,67.97881055
la01,80,6,678,16.64616513
la01,80,7,666,231.2289541
la01,80,8,666,106.427712
la01,80,9,666,110.8423593
la01,100,0,666,283.128278
la01,100,1,666,142.9508266
la01,100,2,678,20.85202551
la01,100,3,695,69.94996095
la01,100,4,666,213.9332836
la01,100,5,667,181.8410304
la01,100,6,666,149.4055259
la01,100,7,666,183.439959
la01,100,8,667,299.0669346
la01,100,9,666,46.40458536
la02,0,0,696,350.825572
la02,0,1,655,298.3863847
la02,0,2,691,282.0406229
la02,0,3,689,374.3928578
la02,0,4,698,413.0233693
la02,0,5,671,334.5992308
la02,0,6,660,360.6491048
la02,0,7,685,380.1923451
la02,0,8,673,70.17551446
la02,0,9,679,211.0213447
la02,20,0,702,220.1133373
la02,20,1,679,147.7731819
la02,20,2,676,260.9710069
la02,20,3,672,257.3310742
la02,20,4,675,273.4581022
la02,20,5,669,180.7052879
la02,20,6,677,212.8689067
la02,20,7,689,130.8902969
la02,20,8,676,163.9723644
la02,20,9,705,141.8850105
la02,40,0,671,179.4883549
la02,40,1,665,307.3550098
la02,40,2,679,94.8076272
la02,40,3,667,197.56656
la02,40,4,677,138.8847899
la02,40,5,665,174.9647505
la02,40,6,683,116.9789708
la02,40,7,683,339.6619327
la02,40,8,685,356.1152747
la02,40,9,655,330.5607374
la02,60,0,709,398.6335461
la02,60,1,669,208.2895441
la02,60,2,675,383.2846334
la02,60,3,694,307.3298256
la02,60,4,675,162.5638144
la02,60,5,690,354.9708989
la02,60,6,705,166.0027294
la02,60,7,665,196.0273149
la02,60,8,720,99.35496092
la02,60,9,705,113.4554374
la02,80,0,719,352.2386932
la02,80,1,667,239.7455113
la02,80,2,685,244.6382139
la02,80,3,732,57.80587268
la02,80,4,689,125.6833043
la02,80,5,676,189.8478546
la02,80,6,667,413.4437909
la02,80,7,667,112.7453353
la02,80,8,665,199.474093
la02,80,9,667,245.5610857
la02,100,0,695,255.8078077
la02,100,1,669,149.8257835
la02,100,2,680,329.2652786
la02,100,3,672,119.6096005
la02,100,4,682,182.7661059
la02,100,5,676,237.7685535
la02,100,6,680,237.4999223
la02,100,7,665,150.2861786
la02,100,8,659,325.4956682
la02,100,9,705,93.02452302
la03,0,0,642,122.5980322
la03,0,1,626,282.7966709
la03,0,2,623,173.3144844
la03,0,3,641,266.5848451
la03,0,4,627,147.9389384
la03,0,5,641,124.8238144
la03,0,6,633,92.4713943
la03,0,7,617,142.124131
la03,0,8,617,337.2489777
la03,0,9,633,223.2604265
la03,20,0,617,208.588237
la03,20,1,646,201.7469776
la03,20,2,641,330.6793358
la03,20,3,633,221.4096172
la03,20,4,604,358.8440049
la03,20,5,620,217.4984403
la03,20,6,613,115.0573308
la03,20,7,643,100.9745505
la03,20,8,617,362.6916459
la03,20,9,636,329.5396125
la03,40,0,620,365.2886796
la03,40,1,639,145.5912836
la03,40,2,617,106.1319742
la03,40,3,633,198.4060998
la03,40,4,619,386.2217784
la03,40,5,621,198.0481412
la03,40,6,617,199.5400898
la03,40,7,629,364.4642079
la03,40,8,633,69.4869349
la03,40,9,628,172.3058894
la03,60,0,632,285.5633562
la03,60,1,633,129.8148596
la03,60,2,641,100.3993042
la03,60,3,627,132.9655898
la03,60,4,628,170.3753912
la03,60,5,621,249.1917162
la03,60,6,635,444.1846464
la03,60,7,630,234.3882957
la03,60,8,644,117.1228538
la03,60,9,621,96.99120831
la03,80,0,648,193.9687514
la03,80,1,631,394.5651047
la03,80,2,634,260.0166814
la03,80,3,606,460.2996833
la03,80,4,632,327.9393163
la03,80,5,645,84.44654632
la03,80,6,632,502.9479401
la03,80,7,642,77.47055125
la03,80,8,633,173.2537658
la03,80,9,628,134.0720174
la03,100,0,648,114.8856971
la03,100,1,630,79.02321339
la03,100,2,631,463.2332406
la03,100,3,628,361.24259
la03,100,4,620,257.1530108
la03,100,5,617,334.3173141
la03,100,6,632,425.3580339
la03,100,7,639,438.6112349
la03,100,8,633,341.8042247
la03,100,9,621,474.1988521
la04,0,0,618,325.9137914
la04,0,1,607,353.9355748
la04,0,2,607,463.7835853
la04,0,3,598,363.7172499
la04,0,4,628,138.7272072
la04,0,5,602,188.543889
la04,0,6,604,151.2054882
la04,0,7,602,392.4715044
la04,20,0,607,298.8590615
la04,20,1,598,342.3494782
la04,20,2,598,190.4197292
la04,20,3,607,322.0813749
la04,20,4,620,367.6664484
la04,40,0,598,149.5209734
la04,40,1,595,415.2986474
la04,40,2,611,276.5244296
la04,40,3,607,213.5423875
la04,40,4,620,86.10356426
la04,60,0,598,166.7191732
la04,60,1,598,194.4484665
la04,60,2,607,268.6297877
la04,60,3,632,38.01475596
la04,60,4,595,283.152086
la04,80,0,616,405.5878849
la04,80,1,607,85.78775716
la04,80,2,611,161.0386431
la04,80,3,618,117.4807916
la04,80,4,620,126.4264357
la04,100,0,607,383.7831285
la04,100,1,598,282.5399811
la04,100,2,598,431.2598963
la04,100,3,611,288.0712912
la04,100,4,607,176.2803185
la05,0,0,593,32.76530266
la05,0,1,593,0.321233988
la05,0,2,593,0.310036421
la05,0,3,593,18.90067053
la05,0,4,593,16.60550642
la05,20,0,593,2.390184164
la05,20,1,593,0.31692481
la05,20,2,593,0.322619915
la05,20,3,593,0.342116356
la05,20,4,593,0.315199375
la05,40,0,593,0.329363823
la05,40,1,593,0.328691959
la05,40,2,593,0.318605661
la05,40,3,593,0.311788082
la05,40,4,593,0.323409557
la05,60,0,593,0.328032255
la05,60,1,593,0.31907177
la05,60,2,593,0.321034193
la05,60,3,593,0.332302332
la05,60,4,593,0.341873646
la05,80,0,593,0.310034275
la05,80,1,593,0.327470779
la05,80,2,593,0.320648193
la05,80,3,593,0.322114229
la05,80,4,593,0.336714268
la05,100,0,593,0.360105515
la05,100,1,593,0.327018738
la05,100,2,593,0.344185829
la05,100,3,593,0.377144575
la05,100,4,593,0.309588432
la06,0,0,926,100.8275032
la06,0,1,926,91.49886179
la06,0,2,926,124.5867193
la06,0,3,926,129.7469223
la06,0,4,926,157.4911861
la06,20,0,926,23.76234698
la06,20,1,926,55.43232489
la06,20,2,926,20.90932703
la06,20,3,926,41.22785211
la06,20,4,926,30.99719596
la06,40,0,926,27.30773401
la06,40,0,926,41.69261527
la06,40,1,926,13.52203012
la06,40,2,926,20.33297229
la06,40,3,926,27.1512692
la06,40,4,926,27.17392302
la06,60,0,926,36.39440966
la06,60,1,926,30.30493188
la06,60,2,926,50.57977772
la06,60,3,926,12.26968408
la06,60,4,926,65.24645901
la06,80,0,926,6.390633345
la06,80,1,926,36.30005622
la06,80,2,926,33.46423864
la06,80,3,926,33.08970904
la06,80,4,926,80.41468859
la06,100,0,926,27.16273141
la06,100,1,926,6.476705074
la06,100,2,926,12.66442847
la06,100,3,926,15.37526965
la06,100,4,926,18.27070379
la07,40,0,902,593.3533583
la07,40,1,890,240.8939109
la07,40,2,897,176.0480921
la07,40,3,890,417.263202
la07,40,4,899,416.4127924
la07,60,0,910,404.0276742
la07,60,1,890,388.069026
la07,60,2,914,249.9448528
la07,60,3,910,369.7161856
la07,60,4,890,313.8427362
la07,80,0,890,321.659344
la07,80,1,890,287.1559334
la07,80,2,903,221.6574366
la07,80,3,890,369.1466269
la07,80,4,910,144.6059871
la07,100,0,890,389.0623374
la07,100,1,890,210.1443715
la07,100,2,903,156.87678
la07,100,3,890,447.2101886
la07,100,4,910,193.5865407
la08,40,0,863,153.7454226
la08,40,1,863,309.8792605
la08,40,2,863,74.27902746
la08,40,3,863,107.5394917
la08,40,4,863,155.1124625
la08,60,0,863,359.8683777
la08,60,1,863,46.78272462
la08,60,2,863,234.6999013
la08,60,3,863,154.2249849
la08,60,4,863,101.4995301
la08,80,0,863,145.3461258
la08,80,1,863,363.2680435
la08,80,2,863,94.8815546
la08,80,3,863,60.10044146
la08,80,4,863,213.1444337
la08,100,0,863,100.453933
la08,100,1,869,148.7277873
la08,100,2,863,157.199636
la08,100,3,863,109.7550867
la08,100,4,863,160.2183499
la09,40,0,951,0.461407423
la09,40,1,951,0.449666262
